No,Grade,Reality,TribeID,TribeName,Name,AI,HP,Power,Magic,Physical,Speed,Luck,PhysicsRegist,FireRegist,IceRegist,ShockRegist,ImpactRegist,HamaRegist,CurseRegist,Skill1,Skill2,Skill3,Skill4,Skill4Rough,Skill4Protection,Skill4Unusual,Skill4Defense,Skill5Rough,Skill5Protection,Skill5Unusual,Skill5Defense
115,63,4,18,夜魔,サキュバス,2,96,11,24,19,16,19,1,2,3,1,1,0,1,マハマリンカリン,魅了追撃,ブフダイン,吸魔,マハジオンガ,マハデゾレト,魅了無効,破魔耐性,吸血,マハブフーラ,野獣の勘,マハムドオン
116,80,5,18,夜魔,リリス,2,96,18,25,19,17,23,1,2,2,4,0,0,3,マハジオダイン,エナジードレイン,肉体の解放,狂い咲き,精神漏出,サマリカーム,三段の強運,破魔無効,毒床渡り,タルンダ,煉獄,暗殺者
117,26,2,19,邪神,アブラクサス,2,63,17,17,12,13,8,4,0,0,0,0,0,0,デクンダ,タルカジャ,ブフーラ,ラクカジャ,金剛発破,アムリタ,地獄のマスク,呪殺無効,,,,
118,41,3,19,邪神,バフォメット,0,96,9,21,19,11,15,1,1,1,1,1,0,3,マハムド,吸血,マハラギ,二分の魔脈,ムドダイン,マハポイズマ,呪殺ブースタ,破魔耐性,暴れまくり,マハブフ,野生の勘,ジオ
119,50,3,19,邪神,アラハバキ,0,129,9,18,26,12,15,2,2,0,0,0,0,2,メギド,マカラカーン,コンセントレイト,エナジードレイン,アイスブレス,メポズムディ,マカラカシフト,氷結無効,なぎ払い,乱れ狂い,ムド,メチャームディ
120,62,4,19,邪神,パズス,1,129,20,23,26,12,9,1,1,0,1,3,1,3,火炎耐性,メディラマ,煉獄,ホワイトノイズ,マハムドダイン,サマリカーム,デスカウンター,破魔無効,魔封耐性,メディア,ザンマ,デスバウンド
121,67,4,19,邪神,ギリメカラ,0,92,26,12,18,16,18,5,1,1,0,0,0,1,呪殺耐性,リベリオン,メガトンプレス,バインドボイス,暴飲暴食,ラクンダ,ミナゴロシの愉悦,衝撃耐性,審判の光,アギダイン,クロズディ,ブフーラ
122,84,5,19,邪神,セト,0,92,32,13,18,19,23,1,0,1,3,3,1,4,ザンダイン,ランダマイザ,モータルジハード,ティタノマキア,精神漏出,アウトブレイク,衝撃ハイブースタ,火炎耐性,マリンカリン,マハマリンカリン,冥界破,ジュ
123,4,1,20,妖獣,チャグリン,2,82,9,9,16,13,10,1,0,1,2,1,1,1,ウィークディ,ジオ,,放電,マハジオ,スクカジャ,初段の猛速,呪殺耐性,,,,
124,9,1,20,妖獣,バイコーン,0,77,17,13,15,7,6,1,1,1,1,0,1,3,突撃,アギ,,マハラギ,ヒートウェイブ,チャームディ,地獄のマスク,破魔耐性,,,,
125,20,2,20,妖獣,ライジュウ,2,68,12,10,13,16,15,1,1,1,2,0,1,1,虚弱耐性,ジオンガ,放電,食いしばり,バインドクロ―,バリアコワース,初段の猛速,電撃無効,,,,
126,25,2,20,妖獣,ヌエ,0,77,18,10,15,10,14,1,1,1,2,0,1,1,マハジオ,ジオ,丸かじり,バインドクロ―,ジオンガ,ラクンダ,初段の剛力,物理耐性,,,,
127,41,3,20,妖獣,モスマン,2,106,12,10,21,17,15,1,1,1,2,0,1,1,緊縛耐性,マハジオ,マハシバブー,一分の魔脈,ジオダイン,シバブオン,狂い咲き,火炎無効,ザン,ヒートウェイブ,見切り,メパララディ
128,46,3,20,妖獣,ピアレイ,2,92,9,20,18,13,16,1,0,2,1,1,0,1,マハデゾレト,狂い咲き,マハムドオン,毒ガスブレス,イービルアイ,コンセントレイト,地獄のマスク,破魔耐性,ジオ,マハラギ,初段の猛速,毒床歩き
129,61,4,20,妖獣,フェンリル,2,77,19,14,15,27,14,1,0,4,2,0,1,1,虚空爪激,二段の猛速,タルカオート,丸かじり,冥界破,マカラコワース,スピードスター,衝撃耐性,呪殺耐性,丸かじり,メウィークディ,ハマ
130,1,1,21,外道,スライム,0,54,12,10,10,12,12,0,0,0,0,0,0,1,スラッシュ,一分の活泉,,吸血,吸魔,ポズムディ,反撃,衝撃耐性,,,,
131,10,1,21,外道,ファントム,0,68,9,16,13,13,6,2,1,1,1,0,0,3,ジオ,ムド,,マハジオ,ジオンガ,デカジャ,地獄のマスク,電撃耐性,,,,
132,20,2,21,外道,ブロブ,0,96,15,11,19,9,13,2,1,0,1,1,0,3,ポイズマ,ザン,マハザン,タルンダ,吸魔,マハポイズマ,乱れ狂い,衝撃耐性,,,,
133,25,2,21,外道,ブラックウーズ,0,106,15,14,21,8,10,2,1,1,0,1,0,3,ジュ,ポイズマ,甘噛み,乱れ狂い,デスタッチ,マハジュ,食いしばり,火炎無効,,,,
134,35,2,21,外道,シャドウ,0,87,9,19,17,15,7,2,1,1,1,0,0,3,ラクンダ,マハジオ,ムド,タルカジャ,ムドオン,デゾレト,初段の猛速,氷結耐性,,,,
135,45,3,21,外道,マッドガッサー,0,63,14,12,12,20,18,1,1,1,1,1,0,2,マハポイズマ,毒追撃,ムドダイン,地獄のマスク,デスタッチ,バリアコワース,乱れ狂い,呪殺無効,ジオ,ハマ,スクカジャ,メチャームディ
136,46,3,22,魔王,オーカス,0,82,21,9,16,13,16,2,1,0,1,1,0,1,食いしばり,猛反撃,地獄の業火,ラクカオート,捨て身の一撃,テトラコワース,二段の恵体,氷結無効,マハブフ,ザン,野生の勘,自然治癒
137,60,4,22,魔王,アバドン,0,101,23,14,20,16,15,1,5,1,0,1,1,1,猛反撃,マハラギオン,暴飲暴食,地獄の業火,メガトンレイド,マハデゾレト,コロシの愉悦,物理無効,初段の猛速,地獄のマスク,ジュ,メクロズディ
138,68,4,22,魔王,ベルゼブブ,0,96,19,18,19,18,16,1,1,1,2,2,3,3,ムドダイン,マハジオンガ,暴食の大罪,野獣の勘,ショックウェーブ,アウトブレイク,マカラカシフト,破魔反射,マハデゾレトオン,物理耐性,コロシの愉悦,電撃耐性
139,75,4,22,魔王,ロキ,0,110,10,24,22,15,19,1,1,3,1,2,0,2,ザンダイン,アギダイン,トリックスター,ジオダイン,ブフダイン,祟り,ダークゾーン無効,破魔耐性,コロシの愉悦,丸かじり,マハムドオン,ムドオン
140,83,5,22,魔王,スルト,0,110,27,20,22,13,20,1,4,0,1,1,1,1,怪力乱神,テトラカシフト,ラグナロク,威圧の構え,マハラギダイン,リディア,火炎貫通,氷結無効,毒追撃,衝撃ブースタ,ラクンダ,丸かじり
141,90,5,22,魔王,マーラ,0,87,30,15,17,19,23,1,1,0,1,1,2,2,緊縛無効,ティタノマキア,地獄突き,メガトンレイド,ソウルドレイン,チャージ,物理貫通,氷結無効,真理の雷,デゾレトオン,マハマカジャオン,地獄の業火
142,98,5,22,魔王,ルシファー,0,110,24,22,22,21,18,2,1,1,1,1,0,5,メギドラオン,トリスアギオン,明けの明星,三段の恵体,ギガントマキア,リカームドラ,大虐殺者,破魔吸収,ムドダイン,魅了無効,電撃ブースタ,マリンカリオン
143,4,1,23,幽鬼,ガキ,0,63,12,12,12,11,12,1,0,2,1,0,0,3,ブフ,ムド,,マハブフ,吸血,ディスコード,百発百中,衝撃耐性,,,,
144,7,1,23,幽鬼,オバリヨン,1,77,9,8,15,13,13,1,1,0,3,1,0,3,クロズディ,メディア,,突撃,暴れまくり,スクンダ,見切り,火炎耐性,,,,
145,20,2,23,幽鬼,モウリョウ,0,59,9,20,11,12,15,1,1,1,1,1,0,3,ムド,シバブオン,ファイアブレス,吸魔,イービルアイ,カースディ,初段の賢魔,呪殺反射,,,,
146,26,2,23,幽鬼,ピシャーチャ,2,96,13,8,19,14,13,1,0,1,1,3,0,2,マハムド,甘噛み,吸血,ジュ,ムドオン,マハシバブー,毒床渡り,氷結耐性,,,,
147,34,2,23,幽鬼,レギオン,0,101,12,10,20,14,13,1,1,1,0,1,0,2,マハザン,ムド,アギ,デスバウンド,ウィンドブレス,マカラコワース,衝撃ブースタ,火炎耐性,,,,
148,44,3,23,幽鬼,ラフィン・スカル,2,63,15,20,12,13,15,1,4,0,1,1,0,3,ディスコード,ムドオン,デスタッチ,デカジャ,冥界破,雄叫び,緊縛無効,衝撃耐性,なぎ払い,ポズムディ,暴れまくり,マハジオ
149,55,3,23,幽鬼,ヴェータラ,0,77,18,18,15,14,14,1,0,1,1,1,0,3,リディアコワース,ブフダイン,丸かじり,暴れまくり,エナジードレイン,溶解ブレス,毒耐性,火炎耐性,カースディ,初段の猛速,ヒートウェイブ,初段の猛速
150,74,4,24,魔人,ホワイトライダー,0,77,16,24,15,20,17,1,1,1,4,0,2,2,ジオダイン,ホワイトノイズ,ゴッドアロー,ショックウェーブ,ソウルドレイン,リカームドラ,緊縛無効,衝撃無効,ブフーラ,百発百中,メチャームディ,マハラギオン
151,89,5,24,魔人,アリス,0,96,14,28,19,20,23,1,1,1,1,1,0,5,マハムドオン,ムドダイン,死んでくれる？,ソウルドレイン,ヘルズアイ,マハジュオン,呪殺ハイブースタ,破魔反射,絶対零度,マハブフダイン,呪い耐性,刹那五月雨撃ち
152,94,5,24,魔人,トランペッター,0,96,17,25,19,22,21,1,1,1,1,1,3,3,コンセントレイト,ソウルドレイン,アポカリプス,マハマカジャオン,ジャッジメント,祟り,ラクカオート,物理耐性,タルカジャ,マハブフーラ,空間殺法,火炎耐性
153,83,5,25,英雄,ジークフリード,0,101,27,16,20,19,20,4,1,1,1,1,1,1,怪力乱神,リベリオン,武道の素養,勝利の息吹,ティタノマキア,チャージ,不屈の闘志,衝撃無効,マハジオダイン,トリスアギオン,メギドラ,イービルアイ
154,97,5,25,英雄,ヨシツネ,0,106,26,18,21,22,18,2,1,1,1,1,3,3,空間殺法,勝利のチャクラ,八艘飛び,不屈の闘志,ギガントマキア,テトラカーン,物理ハイブースタ,物理吸収,マハマカジャマ,マハブフダイン,殺風激,ウィンドブレス
155,25,2,26,怪異,かみおとこ,2,77,19,11,15,10,11,1,1,1,1,1,0,5,ムドオン,狂い咲き,痺れ噛みつき,雄叫び,丸かじり,ディスコード,初段の強運,衝撃無効,,,,
156,15,1,27,珍獣,チュパカブラ,0,49,11,10,9,15,14,1,1,1,0,1,1,1,マハザン,ステルス,,スクカオート,吸魔,パララディ,地獄のマスク,電撃耐性,,,,
157,41,3,27,珍獣,イナバシロウサギ,1,68,13,11,13,20,17,1,0,1,1,1,1,1,デカジャ,メディア,ワナフーリ,リカーム,狂乱の剛爪,ディスコード,初段の猛速,火炎無効,,,,
158,30,2,28,秘神,カンバリ,0,63,14,11,12,16,16,0,1,1,1,1,2,0,暴れまくり,ハマオン,コウウン,メガトンプレス,マハンマ,メカースディ,勝利のチャクラ,火炎耐性,,,,
159,55,3,28,秘神,キンマモン,2,87,9,16,17,20,18,1,3,0,1,1,2,2,メギド,バリア,マレビト,メギドラ,エナジードレイン,アムリタ,見切り,呪殺無効,,,,
160,75,4,28,秘神,カーマ,2,92,16,12,18,27,18,2,0,1,1,1,2,1,スピードスター,デクンダ,魅了の神弓,空間殺法,刹那五月雨撃ち,静寂の祈り,スクカオート,火炎反射,,,,
161,24,5,29,霊鳥,ハンサ,2,73,8,14,14,16,14,1,1,1,2,1,1,0,ハマ,ジオンガ,スクカジャ,マカジャマ,マハンマ,メディア,スピードスター,氷結耐性,,,,
162,28,5,29,霊鳥,スパルナ,0,68,14,10,13,17,13,1,1,1,2,1,2,0,ジオ,金剛発破,ラクカジャ,ディアラ,吸魔,タルンダ,地獄のマスク,電撃無効,,,,
163,44,5,29,霊鳥,ジャターユ,2,49,13,11,9,24,18,1,2,1,0,4,3,0,スクカジャ,スクカオート,デカジャ,スクンダ,デスバウンド,リカーム,野獣の勘,電撃耐性,マハザン,乱れ狂い,メポズムディ,カースディ
164,53,5,29,霊鳥,スザク,1,49,8,19,9,23,21,0,3,0,1,1,1,1,アギラオ,タルンダオート,メディラマ,ダークゾーン無効,マハンマ,バインドボイス,毒床渡り,物理耐性,コロシの愉悦,クロズディ,メパララディ,ジオ
165,66,4,29,霊鳥,ヤタガラス,2,68,22,10,13,28,17,1,3,0,1,1,2,1,冥界破,スクンダオート,スピードスター,物理ブースタ,モータルジハード,スクカジャ,寸分の見切り,物理耐性,マハラギオン,一分の魔脈,ウィンドブレス,緊縛耐性
166,80,5,29,霊鳥,ガルーダ,0,63,10,25,12,33,21,1,5,0,1,3,2,1,ザンダイン,ラクンダオート,ヴァーハナ,三段の賢魔,マハラギダイン,フォッグブレス,狂戦士,破魔無効,マハマカジャマ,アムリタ,火炎ブースタ,アギラオ
167,65,4,30,狂神,アティス,0,96,22,12,19,18,18,2,1,1,1,1,1,1,不屈の闘志,リカームドラ,乱・かすみ斬り,勝利の息吹,マハブフダイン,ディアラマ,魅了無効,氷結無効,,,,
168,85,5,31,威霊,アリラト,0,120,7,23,24,20,24,2,1,1,1,1,2,2,メギドラ,奈落のマスク,貫反の霊圧,ディアラハン,ソウルドレイン,メディラマ,二分の魔脈,物理無効,,,,
